"название","активность","Сорт.","Дата изм.","id"
Teradata,Да,500,"20.07.2123 12:57:28",115705
MS SQL Server,Да,500,"21.10.2020 13:17:53",115696
My SQL,Да,500,"21.10.2020 13:17:53",115697
Postgre SQL,Да,500,"21.10.2020 13:17:53",115698
Oracle,Да,500,"21.10.2020 13:17:53",115699
SAP BW,Да,500,"21.10.2020 13:17:53",115700
MS Access,Да,500,"21.10.2020 13:17:53",115701
ILS,Да,500,"21.10.2020 13:17:53",115702
Firebird,Да,500,"21.10.2020 13:17:53",115703
Hadoop,Да,500,"21.10.2020 13:17:53",115704
Greenplum,Да,500,"21.10.2020 13:17:53",115706
QVD,Да,500,"21.10.2020 13:17:53",115707
Pega,Да,500,"21.10.2020 13:17:53",115708
MonogoDB,Да,500,"21.10.2020 13:17:53",115709
DB2,Да,500,"21.10.2020 13:17:53",115710
Redis,Да,500,"21.10.2020 13:17:53",115711
Другое,Да,500,"21.10.2020 13:17:53",115712
