"название","активность","Сорт.","Дата изм.","id"
Access,Да,500,"08.09.2022 17:34:33",239027
Сypress,Да,500,"08.09.2022 17:34:33",239028
Figma,Да,500,"08.09.2022 17:34:33",239029
Git,Да,500,"08.09.2022 17:34:33",239030
SQL/dbeaver,Да,500,"08.09.2022 17:34:33",239031
Pythot/pytest,Да,500,"08.09.2022 17:34:33",239032
TestIT,Да,500,"08.09.2022 17:34:33",239033
Miro,Да,500,"04.04.2022 14:44:47",216074
Wrike,Да,500,"04.04.2022 14:44:34",216072
Asana,Да,500,"04.04.2022 14:44:24",216071
Business Studio,Да,500,"04.04.2022 14:44:13",115681
Jira,Да,500,"21.10.2020 13:17:53",115675
MS Project,Да,500,"21.10.2020 13:17:53",115676
"MS Office (Word, Excel, PowerPoint, OneNote)",Да,500,"21.10.2020 13:17:53",115677
Aris Express,Да,500,"21.10.2020 13:17:53",115678
Visio,Да,500,"21.10.2020 13:17:53",115679
Confluence,Да,500,"21.10.2020 13:17:53",115680
Redmine,Да,500,"21.10.2020 13:17:53",115682
Trello,Да,500,"21.10.2020 13:17:53",115683
Otrs,Да,500,"21.10.2020 13:17:53",115684
Bizagi,Да,500,"21.10.2020 13:17:53",115685
Draw. Io,Да,500,"21.10.2020 13:17:53",115686
VSCode,Да,500,"21.10.2020 13:17:53",115687
TFS,Да,500,"21.10.2020 13:17:53",115688
Другое,Да,500,"21.10.2020 13:17:53",115689
