"название","активность","Сорт.","Дата изм.","id","дата","инструменты","Уровень знаний"
User:1335,Да,500,"10.01.2024 12:02:21",253957,"21.11.2022",Figma [239029],Expert [115641]
User:1335,Да,500,"10.01.2024 12:02:21",313753,"21.11.2022",Access [239027],Middle [115639]
User:1335,Да,500,"10.01.2024 12:02:21",313754,"21.11.2022",Другое [115689],Expert [115641]
User:1335,Да,500,"10.01.2024 12:02:21",313755,"21.11.2022",Git [239030],Middle [115639]
User:1335,Да,500,"10.01.2024 12:02:21",313756,"21.11.2022",Jira [115675],Middle [115639]
User:1335,Да,500,"10.01.2024 12:02:21",313757,"21.11.2022",Trello [115683],Middle [115639]
User:1335,Да,500,"10.01.2024 12:02:21",313758,"21.11.2022",Visio [115679],Middle [115639]
User:1335,Да,500,"10.01.2024 12:02:21",313759,"21.11.2022",Draw. Io [115686],Expert [115641]
User:1335,Да,500,"10.01.2024 12:02:21",313760,"21.11.2022",Miro [216074],Expert [115641]
User:1335,Да,500,"10.01.2024 12:02:21",313761,"21.11.2022","MS Office (Word, Excel, PowerPoint, OneNote) [115677]",Expert [115641]
User:1335,Да,500,"10.01.2024 12:02:21",313762,"21.11.2022",SQL/dbeaver [239031],Middle [115639]
User:1335,Да,500,"10.01.2024 12:02:21",313763,"21.11.2022",Wrike [216072],Junior [115638]
User:1335,Да,500,"10.01.2024 12:02:02",313747,"21.11.2022",Access [239027],Middle [115639]
User:1335,Да,500,"10.01.2024 12:02:02",313748,"21.11.2022",Другое [115689],Expert [115641]
User:1335,Да,500,"10.01.2024 12:02:02",313749,"21.11.2022",Git [239030],Middle [115639]
User:1335,Да,500,"10.01.2024 12:02:02",313750,"21.11.2022",Jira [115675],Middle [115639]
User:1335,Да,500,"10.01.2024 12:02:02",313751,"21.11.2022",Trello [115683],Middle [115639]
User:1335,Да,500,"10.01.2024 12:02:02",313752,"21.11.2022",Visio [115679],Middle [115639]
User:4508,Да,500,"09.01.2024 16:32:43",312510,"28.12.2023","MS Office (Word, Excel, PowerPoint, OneNote) [115677]",Middle [115639]
User:4508,Да,500,"09.01.2024 16:32:43",312544,"28.12.2023",Draw. Io [115686],Junior [115638]
User:4508,Да,500,"09.01.2024 16:32:43",312545,"28.12.2023",Miro [216074],Junior [115638]
User:4508,Да,500,"09.01.2024 16:32:43",313605,"28.12.2023",Figma [239029],Junior [115638]
User:3978,Да,500,"09.01.2024 11:45:15",313472,"09.01.2024",Asana [216071],Middle [115639]
User:3978,Да,500,"09.01.2024 11:45:15",313473,"09.01.2024",Confluence [115680],Middle [115639]
User:3978,Да,500,"09.01.2024 11:45:15",313474,"09.01.2024",Jira [115675],Middle [115639]
User:3978,Да,500,"09.01.2024 11:45:15",313475,"09.01.2024",Miro [216074],Middle [115639]
User:3978,Да,500,"09.01.2024 11:45:15",313476,"09.01.2024","MS Office (Word, Excel, PowerPoint, OneNote) [115677]",Senior [115640]
User:3978,Да,500,"09.01.2024 11:45:15",313477,"09.01.2024",Redmine [115682],Использовал на проекте [283045]
User:3978,Да,500,"09.01.2024 11:45:15",313478,"09.01.2024",Trello [115683],Middle [115639]
User:3978,Да,500,"09.01.2024 11:45:15",313479,"09.01.2024",Visio [115679],Middle [115639]
User:3978,Да,500,"09.01.2024 11:45:15",313480,"09.01.2024",VSCode [115687],Junior [115638]
User:3978,Да,500,"09.01.2024 11:45:15",313481,"09.01.2024",TFS [115688],Middle [115639]
User:4549,Да,500,"09.01.2024 10:57:12",313429,"09.01.2024",Bizagi [115685],Senior [115640]
User:4549,Да,500,"09.01.2024 10:57:12",313430,"09.01.2024",Business Studio [115681],Middle [115639]
User:4549,Да,500,"09.01.2024 10:57:12",313431,"09.01.2024",Aris Express [115678],Middle [115639]
User:4549,Да,500,"09.01.2024 10:57:12",313432,"09.01.2024",Draw. Io [115686],Middle [115639]
User:4549,Да,500,"09.01.2024 10:57:12",313433,"09.01.2024","MS Office (Word, Excel, PowerPoint, OneNote) [115677]",Senior [115640]
User:4549,Да,500,"09.01.2024 10:57:12",313434,"09.01.2024",Другое [115689],Middle [115639]
User:4549,Да,500,"09.01.2024 10:57:12",313435,"09.01.2024",Другое [115689],Senior [115640]
User:4506,Да,500,"08.01.2024 23:56:11",313357,"08.01.2024",Git [239030],Junior [115638]
User:4506,Да,500,"08.01.2024 23:56:11",313358,"08.01.2024",SQL/dbeaver [239031],Junior [115638]
User:4506,Да,500,"08.01.2024 23:56:11",313359,"08.01.2024","MS Office (Word, Excel, PowerPoint, OneNote) [115677]",Middle [115639]
User:4506,Да,500,"08.01.2024 23:56:11",313360,"08.01.2024",VSCode [115687],Junior [115638]
User:4506,Да,500,"08.01.2024 23:56:11",313361,"08.01.2024",Jira [115675],Junior [115638]
User:3985,Да,500,"08.01.2024 21:00:45",313332,"01.02.2022",Jira [115675],Senior [115640]
User:3985,Да,500,"08.01.2024 21:00:45",313333,"01.02.2022",Miro [216074],Senior [115640]
User:3985,Да,500,"08.01.2024 21:00:45",313334,"01.02.2022",Visio [115679],Senior [115640]
User:3985,Да,500,"08.01.2024 21:00:45",313335,"01.02.2022",VSCode [115687],Senior [115640]
User:4486,Да,500,"08.01.2024 13:46:55",313267,"08.01.2024",SQL/dbeaver [239031],Senior [115640]
User:4486,Да,500,"08.01.2024 13:46:55",313268,"08.01.2024",Draw. Io [115686],Middle [115639]
User:4486,Да,500,"08.01.2024 13:46:55",313269,"08.01.2024",Confluence [115680],Middle [115639]
User:4486,Да,500,"08.01.2024 13:46:55",313270,"08.01.2024",Jira [115675],Middle [115639]
User:4486,Да,500,"08.01.2024 13:46:55",313271,"08.01.2024","MS Office (Word, Excel, PowerPoint, OneNote) [115677]",Senior [115640]
User:4486,Да,500,"08.01.2024 13:46:55",313272,"08.01.2024",Miro [216074],Middle [115639]
User:4563,Да,500,"08.01.2024 13:30:54",313250,"08.01.2024",Access [239027],Junior [115638]
User:4563,Да,500,"08.01.2024 13:30:54",313251,"08.01.2024",Confluence [115680],Novice [115637]
User:4563,Да,500,"08.01.2024 13:30:54",313252,"08.01.2024",Jira [115675],Novice [115637]
