"User ID","активность","Сорт.","Дата изм.","id","дата","отрасли","Уровень знаний в отрасли"
3978,Да,500,"09.01.2024 11:57:29",313494,"09.01.2024",Промышленное производство [115769],"Я знаю специфику отрасли, могу переложить на систему, убедить клиента и реализовать [115774]"
3978,Да,500,"09.01.2024 11:57:29",313495,"09.01.2024",Розничная торговля и дистрибуция [115764],"Я знаю специфику отрасли, могу переложить на систему, убедить клиента и реализовать [115774]"
4506,Да,500,"08.01.2024 23:58:36",313369,"08.01.2024",Розничная торговля и дистрибуция [115764],Я знаю специфику отрасли [115772]
3985,Да,500,"08.01.2024 20:53:54",313324,"01.02.2022",Связь и телекоммуникации [115767],Я знаю специфику отрасли и переложил это на систему [115773]
1430,Да,500,"29.12.2023 12:08:14",312729,"01.09.2018",Промышленное производство [115769],"Я знаю специфику отрасли, могу переложить на систему, убедить клиента и реализовать [115774]"
1430,Да,500,"29.12.2023 12:08:14",312730,"01.09.2018",Розничная торговля и дистрибуция [115764],"Я знаю специфику отрасли, могу переложить на систему, убедить клиента и реализовать [115774]"
1430,Да,500,"29.12.2023 12:08:14",312733,"01.09.2018",Государственный сектор [115771],Я знаю специфику отрасли [115772]
4493,Да,500,"28.12.2023 18:57:05",312622,"28.12.2023",Розничная торговля и дистрибуция [115764],Я знаю специфику отрасли [115772]
3397,Да,500,"28.12.2023 18:35:14",312601,"09.02.2021",Промышленное производство [115769],Я знаю специфику отрасли [115772]
3397,Да,500,"28.12.2023 18:35:14",312603,"09.03.2022",Связь и телекоммуникации [115767],Я знаю специфику отрасли [115772]
3397,Да,500,"28.12.2023 18:35:14",312604,"09.07.2022",Розничная торговля и дистрибуция [115764],Я знаю специфику отрасли [115772]
4594,Да,500,"28.12.2023 11:49:13",312504,"30.11.2023",Финансовый сектор [115770],Я знаю специфику отрасли [115772]
4417,Да,500,"28.12.2023 09:50:21",312465,"01.01.2015",Связь и телекоммуникации [115767],Я знаю специфику отрасли и переложил это на систему [115773]
4194,Да,500,"26.12.2023 12:51:08",312146,"01.07.2022",Промышленное производство [115769],"Я знаю специфику отрасли, могу переложить на систему, убедить клиента и реализовать [115774]"
4399,Да,500,"26.12.2023 10:10:40",312097,"26.12.2023",Государственный сектор [115771],Я знаю специфику отрасли и переложил это на систему [115773]
4399,Да,500,"26.12.2023 10:10:40",312098,"26.12.2023",Розничная торговля и дистрибуция [115764],Я знаю специфику отрасли и переложил это на систему [115773]
4399,Да,500,"26.12.2023 10:10:40",312099,"26.12.2023",Транспорт и логистика [115768],Я знаю специфику отрасли и переложил это на систему [115773]
3398,Да,500,"20.12.2023 14:18:50",311407,"30.06.2021",Промышленное производство [115769],Я знаю специфику отрасли и переложил это на систему [115773]
3398,Да,500,"20.12.2023 14:18:50",311408,"22.09.2022",Связь и телекоммуникации [115767],Я знаю специфику отрасли и переложил это на систему [115773]
3398,Да,500,"20.12.2023 14:18:50",311409,"18.05.2022",Розничная торговля и дистрибуция [115764],Я знаю специфику отрасли и переложил это на систему [115773]
4558,Да,500,"12.12.2023 10:13:23",309288,"12.12.2023",Государственный сектор [115771],Я знаю специфику отрасли [115772]
2743,Да,500,"28.11.2023 17:16:18",307437,"27.10.2023",Транспорт и логистика [115768],Я знаю специфику отрасли и переложил это на систему [115773]
4363,Да,500,"14.11.2023 14:19:35",305554,"14.11.2023",Транспорт и логистика [115768],Я знаю специфику отрасли [115772]
4482,Да,500,"27.09.2023 15:10:45",298917,"01.01.2018",Финансовый сектор [115770],Я знаю специфику отрасли [115772]
581,Да,500,"18.09.2023 16:58:46",297708,"18.09.2023",Связь и телекоммуникации [115767],Я знаю специфику отрасли [115772]
581,Да,500,"18.09.2023 16:58:46",297709,"18.09.2023",Государственный сектор [115771],Я знаю специфику отрасли [115772]
581,Да,500,"18.09.2023 16:58:46",297710,"18.09.2023",Промышленное производство [115769],Я знаю специфику отрасли [115772]
4492,Да,500,"18.09.2023 11:22:48",297603,"09.07.2021",Промышленное производство [115769],Я знаю специфику отрасли и переложил это на систему [115773]
4492,Да,500,"18.09.2023 11:22:48",297604,"09.07.2021",ТЭК и добывающая промышленность [115766],Я знаю специфику отрасли и переложил это на систему [115773]
4510,Да,500,"12.09.2023 11:52:35",296729,"04.09.2023",Транспорт и логистика [115768],""
647,Да,500,"08.09.2023 15:06:57",296296,"08.09.2023",Розничная торговля и дистрибуция [115764],"Я знаю специфику отрасли, могу переложить на систему, убедить клиента и реализовать [115774]"
647,Да,500,"08.09.2023 15:06:57",296297,"08.09.2023",Государственный сектор [115771],Я знаю специфику отрасли [115772]
4428,Да,500,"08.09.2023 11:57:49",296207,"08.09.2023",Промышленное производство [115769],Я знаю специфику отрасли [115772]
