"User ID","активность","Сорт.","Дата изм.","id","дата","Предментые области","Уровень знаний в предметной облас"
3978,Да,500,"09.01.2024 11:55:18",313492,"09.01.2024",Информационные технологии [115753],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4506,Да,500,"08.01.2024 23:58:20",313368,"08.01.2024",Информационные технологии [115753],Я знаю предметную область [115761]
3985,Да,500,"08.01.2024 20:54:11",313325,"01.02.2022",Информационные технологии [115753],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
1430,Да,500,"29.12.2023 12:16:12",312724,"01.09.2020",E-commerce [115751],Я знаю все особенности предметной области и могу переложить это на систему [115762]
1430,Да,500,"29.12.2023 12:16:12",312725,"01.09.2021",HR [115755],Я знаю все особенности предметной области и могу переложить это на систему [115762]
1430,Да,500,"29.12.2023 12:16:12",312727,"01.09.2018",Нефть и газ [115758],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
1430,Да,500,"29.12.2023 12:16:12",312728,"01.09.2018",Строительство [115760],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
3397,Да,500,"28.12.2023 18:36:00",312606,"09.02.2021",Строительство [115760],Я знаю предметную область [115761]
3397,Да,500,"28.12.2023 18:36:00",312607,"09.11.2022","Маркетинг, реклама, PR [115754]","Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4594,Да,500,"28.12.2023 11:49:40",312505,"30.11.2023","Банки, лизинг [115759]",Я знаю все особенности предметной области и могу переложить это на систему [115762]
4417,Да,500,"28.12.2023 09:49:59",312466,"01.01.2015",Информационные технологии [115753],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4194,Да,500,"26.12.2023 12:50:17",312145,"01.12.2023",Информационные технологии [115753],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4399,Да,500,"26.12.2023 10:09:48",312096,"26.12.2023","Банки, лизинг [115759]",Я знаю предметную область [115761]
3931,Да,500,"25.12.2023 19:08:21",312000,"25.12.2006",E-commerce [115751],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3868,Да,500,"20.12.2023 17:47:45",311436,"02.12.2019","Банки, лизинг [115759]",Я знаю предметную область [115761]
3398,Да,500,"20.12.2023 14:19:28",311403,"27.03.2021",Строительство [115760],Я знаю предметную область [115761]
3398,Да,500,"20.12.2023 14:19:28",311406,"16.12.2021",Информационные технологии [115753],Я знаю предметную область [115761]
3398,Да,500,"20.12.2023 14:19:28",311410,"13.07.2022","Маркетинг, реклама, PR [115754]",Я знаю предметную область [115761]
4558,Да,500,"12.12.2023 10:14:34",309289,"12.12.2023",Документооборот [115756],Я знаю предметную область [115761]
4558,Да,500,"12.12.2023 10:14:34",309290,"12.12.2023",Информационные технологии [115753],Я знаю предметную область [115761]
4559,Да,500,"11.12.2023 12:43:30",309061,"10.11.2023",Информационные технологии [115753],Я знаю предметную область [115761]
4559,Да,500,"11.12.2023 12:43:30",309062,"10.11.2023",E-commerce [115751],Я знаю предметную область [115761]
4559,Да,500,"11.12.2023 12:43:30",309063,"10.11.2023","Банки, лизинг [115759]",Я знаю предметную область [115761]
4160,Да,500,"08.12.2023 12:41:50",308891,"01.10.2022",Информационные технологии [115753],Я знаю предметную область [115761]
2743,Да,500,"28.11.2023 17:15:53",307436,"27.10.2023",Складская логистика [115748],Я знаю все особенности предметной области и могу переложить это на систему [115762]
312,Да,500,"24.11.2023 13:08:55",306943,"24.11.2023",HR [115755],Я знаю предметную область [115761]
3591,Да,500,"21.11.2023 10:32:45",306428,"21.11.2023",Информационные технологии [115753],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
898,Да,500,"17.11.2023 17:05:28",228602,"02.03.2020",Складская логистика [115748],Я знаю все особенности предметной области и могу переложить это на систему [115762]
898,Да,500,"17.11.2023 17:05:28",306155,"01.03.2022",Складская логистика [115748],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
898,Да,500,"17.11.2023 17:05:28",306156,"01.03.2023",Закупки [115752],Я знаю предметную область [115761]
4363,Да,500,"14.11.2023 13:51:04",305544,"14.11.2023",Документооборот [115756],Я знаю предметную область [115761]
4363,Да,500,"14.11.2023 13:51:04",305545,"14.11.2023",Закупки [115752],Я знаю предметную область [115761]
