"название","активность","Сорт.","Дата изм.","id"
Arenadata,Да,500,"08.09.2022 17:34:33",239034
Informatica,Да,500,"08.09.2022 17:34:33",239035
Luxms BI,Да,500,"08.09.2022 17:34:33",239036
MS Azure,Да,500,"08.09.2022 17:34:33",239037
MS Power BI,Да,500,"08.09.2022 17:34:33",239038
MS SQL Server,Да,500,"08.09.2022 17:34:33",239039
MS SQL Server Master Data Services (MDS),Да,500,"08.09.2022 17:34:33",239040
MS SQL Server Analysis Services (SSAS),Да,500,"08.09.2022 17:34:33",239041
Microsoft SQL Server Integration Services (SSIS),Да,500,"08.09.2022 17:34:33",239042
Microsoft SQL Server Reporting Services (SSRS),Да,500,"08.09.2022 17:34:33",239043
Qlik,Да,500,"08.09.2022 17:34:33",239044
SAS,Да,500,"08.09.2022 17:34:33",239045
VK Cloud,Да,500,"08.09.2022 17:34:33",239046
Yandex Cloud,Да,500,"08.09.2022 17:34:33",239047
OpenSource,Да,500,"08.09.2022 17:34:33",239048
Bitrix,Да,500,"21.10.2020 13:17:53",115650
K-Point,Да,500,"21.10.2020 13:17:53",115651
Manhattan WMOS,Да,500,"21.10.2020 13:17:53",115652
Manhattan SCALE,Да,500,"21.10.2020 13:17:53",115653
MS Dynamics 365,Да,500,"21.10.2020 13:17:53",115654
MS Dynamics AX,Да,500,"21.10.2020 13:17:53",115655
MS Dynamics CRM,Да,500,"21.10.2020 13:17:53",115656
MS Reporting Services,Да,500,"21.10.2020 13:17:53",115657
MS Sharepoint,Да,500,"21.10.2020 13:17:53",115658
Nprinting,Да,500,"21.10.2020 13:17:53",115659
Power BI,Да,500,"21.10.2020 13:17:53",115660
Qlik Sense,Да,500,"21.10.2020 13:17:53",115661
Qlik View,Да,500,"21.10.2020 13:17:53",115662
SAP,Да,500,"21.10.2020 13:17:53",115663
Tableau,Да,500,"21.10.2020 13:17:53",115664
"1C ERP",Да,500,"21.10.2020 13:17:53",115665
"1С УПП",Да,500,"21.10.2020 13:17:53",115666
"1С УХ",Да,500,"21.10.2020 13:17:53",115667
"1С Документооборот",Да,500,"21.10.2020 13:17:53",115668
"1С WMS",Да,500,"21.10.2020 13:17:53",115669
"1C ТОИР",Да,500,"21.10.2020 13:17:53",115670
Oracle,Да,500,"21.10.2020 13:17:53",115671
Oracle Hyperion,Да,500,"21.10.2020 13:17:53",115672
Ibm Cognos/ Ibm Planning Analytics,Да,500,"21.10.2020 13:17:53",115673
Другое,Да,500,"21.10.2020 13:17:53",115674
