"User ID","активность","Сорт.","Дата изм.","id","дата","платформы","Уровень знаний"
1335,Да,500,"10.01.2024 12:05:08",253926,"21.11.2022",Luxms BI [239036],Novice [115637]
1335,Да,500,"10.01.2024 12:05:08",253927,"21.11.2022",Power BI [115660],Novice [115637]
1335,Да,500,"10.01.2024 12:05:08",253928,"21.11.2022",MS SQL Server [239039],Novice [115637]
1335,Да,500,"10.01.2024 12:05:08",253929,"21.11.2022",Qlik [239044],Novice [115637]
1335,Да,500,"10.01.2024 12:05:08",253930,"21.11.2022",VK Cloud [239046],Junior [115638]
1335,Да,500,"10.01.2024 12:05:08",253931,"21.11.2022",Yandex Cloud [239047],Junior [115638]
1335,Да,500,"10.01.2024 12:05:08",253932,"21.11.2022",OpenSource [239048],""
1335,Да,500,"10.01.2024 12:05:08",313767,"21.11.2022",Luxms BI [239036],Junior [115638]
1335,Да,500,"10.01.2024 12:05:08",313768,"21.11.2022",Power BI [115660],Junior [115638]
1335,Да,500,"10.01.2024 12:05:08",313769,"21.11.2022",MS SQL Server [239039],Junior [115638]
1335,Да,500,"10.01.2024 12:05:08",313770,"21.11.2022",OpenSource [239048],Middle [115639]
1335,Да,500,"10.01.2024 12:05:08",313771,"21.11.2022",Bitrix [115650],Middle [115639]
4549,Да,500,"09.01.2024 16:48:49",313416,"09.01.2024","1С Документооборот [115668]",Junior [115638]
4549,Да,500,"09.01.2024 16:48:49",313417,"09.01.2024",MS Power BI [239038],Middle [115639]
4549,Да,500,"09.01.2024 16:48:49",313419,"09.01.2024",SAP [115663],Novice [115637]
4549,Да,500,"09.01.2024 16:48:49",313420,"09.01.2024",Другое [115674],Junior [115638]
4549,Да,500,"09.01.2024 16:48:49",313421,"09.01.2024",Другое [115674],Middle [115639]
4549,Да,500,"09.01.2024 16:48:49",313422,"09.01.2024",Другое [115674],Senior [115640]
4549,Да,500,"09.01.2024 16:48:49",313458,"09.01.2024",Qlik View [115662],Junior [115638]
4549,Да,500,"09.01.2024 16:48:49",313634,"09.01.2024",MS SQL Server [239039],Junior [115638]
3978,Да,500,"09.01.2024 11:37:47",313459,"09.01.2024",Bitrix [115650],Middle [115639]
3978,Да,500,"09.01.2024 11:37:47",313460,"09.01.2024","1C ERP [115665]",Использовал на проекте [283045]
3978,Да,500,"09.01.2024 11:37:47",313461,"09.01.2024",MS Power BI [239038],Novice [115637]
4549,Да,500,"09.01.2024 11:30:21",313418,"09.01.2024",MS SQL Server [239039],Middle [115639]
4506,Да,500,"08.01.2024 23:52:31",313348,"08.01.2024",Power BI [115660],Novice [115637]
4506,Да,500,"08.01.2024 23:52:31",313349,"08.01.2024",Tableau [115664],Novice [115637]
4506,Да,500,"08.01.2024 23:52:31",313350,"08.01.2024",Другое [115674],Junior [115638]
3985,Да,500,"08.01.2024 21:03:02",313341,"01.02.2022",MS SQL Server [239039],Senior [115640]
4486,Да,500,"08.01.2024 13:44:59",313266,"08.01.2024",Другое [115674],Senior [115640]
4563,Да,500,"08.01.2024 13:25:13",313239,"08.01.2024",MS Power BI [239038],Middle [115639]
1430,Да,500,"29.12.2023 11:59:47",312695,"01.09.2015",Bitrix [115650],Expert [115641]
1430,Да,500,"29.12.2023 11:59:47",312696,"01.11.2020",MS Dynamics 365 [115654],Junior [115638]
4493,Да,500,"28.12.2023 18:44:20",312609,"28.12.2023",Tableau [115664],Junior [115638]
3397,Да,500,"28.12.2023 18:36:58",312568,"09.11.2020",Bitrix [115650],Novice [115637]
3397,Да,500,"28.12.2023 18:36:58",312569,"09.11.2021",Bitrix [115650],Junior [115638]
3397,Да,500,"28.12.2023 18:36:58",312570,"09.11.2023",Bitrix [115650],Middle [115639]
3397,Да,500,"28.12.2023 18:36:58",312573,"09.03.2022",Power BI [115660],Использовал на проекте [283045]
3397,Да,500,"28.12.2023 18:36:58",312574,"01.07.2021",MS Dynamics 365 [115654],Novice [115637]
4578,Да,500,"28.12.2023 18:33:11",312599,"01.09.2021",Power BI [115660],Middle [115639]
4578,Да,500,"28.12.2023 18:33:11",312600,"01.02.2023",Qlik View [115662],Novice [115637]
4578,Да,500,"28.12.2023 18:30:17",312594,"01.09.2021",Power BI [115660],Junior [115638]
4507,Да,500,"28.12.2023 12:32:53",312525,"28.12.2023",Oracle [115671],Junior [115638]
4507,Да,500,"28.12.2023 12:32:53",312528,"28.12.2023",Другое [115674],Junior [115638]
4508,Да,500,"28.12.2023 12:10:17",312511,"28.12.2023",Power BI [115660],Junior [115638]
4508,Да,500,"28.12.2023 12:10:17",312512,"28.12.2023",Tableau [115664],Novice [115637]
3958,Да,500,"27.12.2023 16:28:19",281336,"18.11.2022",Другое [115674],Middle [115639]
3958,Да,500,"27.12.2023 16:28:19",312419,"18.11.2022",Luxms BI [239036],Использовал на проекте [283045]
3958,Да,500,"27.12.2023 16:28:19",312420,"18.11.2022",Qlik [239044],Использовал на проекте [283045]
4504,Да,500,"27.12.2023 13:05:09",312339,"27.12.2023",Power BI [115660],Novice [115637]
4504,Да,500,"27.12.2023 13:05:09",312342,"27.12.2023",Power BI [115660],Junior [115638]
4504,Да,500,"27.12.2023 13:05:09",312344,"27.12.2023",Yandex Cloud [239047],Novice [115637]
3774,Да,500,"27.12.2023 12:32:46",249231,"17.11.2022",MS Power BI [239038],Middle [115639]
3774,Да,500,"27.12.2023 12:32:46",249232,"17.11.2022",MS SQL Server [239039],Junior [115638]
3774,Да,500,"27.12.2023 12:32:46",249233,"17.11.2022",MS SQL Server Analysis Services (SSAS) [239041],Novice [115637]
3774,Да,500,"27.12.2023 12:32:46",249234,"17.11.2022",Microsoft SQL Server Reporting Services (SSRS) [239043],Novice [115637]
3774,Да,500,"27.12.2023 12:32:46",249235,"17.11.2022",Oracle [115671],Novice [115637]
4417,Да,500,"27.12.2023 12:00:01",312332,"02.10.2023",Luxms BI [239036],Middle [115639]
4399,Да,500,"26.12.2023 13:04:16",312050,"26.12.2023",Informatica [239035],Использовал на проекте [283045]
4399,Да,500,"26.12.2023 13:04:16",312054,"26.12.2023",Ibm Cognos/ Ibm Planning Analytics [115673],Использовал на проекте [283045]
4399,Да,500,"26.12.2023 13:04:16",312055,"26.12.2023",Luxms BI [239036],Использовал на проекте [283045]
