"название","активность","Сорт.","Дата изм.","id"
Складская логистика,Да,500,"21.10.2020 13:17:54",115748
Транспортная логистика,Да,500,"21.10.2020 13:17:54",115749
Управление цепочками поставок,Да,500,"21.10.2020 13:17:54",115750
E-commerce,Да,500,"21.10.2020 13:17:54",115751
Закупки,Да,500,"21.10.2020 13:17:54",115752
Информационные технологии,Да,500,"21.10.2020 13:17:54",115753
"Маркетинг, реклама, PR",Да,500,"21.10.2020 13:17:54",115754
HR,Да,500,"21.10.2020 13:17:54",115755
Документооборот,Да,500,"21.10.2020 13:17:54",115756
Перевозки,Да,500,"21.10.2020 13:17:54",115757
Нефть и газ,Да,500,"21.10.2020 13:17:54",115758
"Банки, лизинг",Да,500,"21.10.2020 13:17:54",115759
Строительство,Да,500,"21.10.2020 13:17:54",115760
