"User ID","активность","Сорт.","Дата изм.","id","Год сертификата","Наименование сертификата","Организация, выдавшая сертификат"
4506,Да,500,"09.01.2024 00:03:06",313372,2023,Python для начинающих,BeeGeek
4506,Да,500,"09.01.2024 00:03:06",313373,2023,Python для продвинутых,BeeGeek
4506,Да,500,"09.01.2024 00:03:06",313374,2023,Python для профессионалов,BeeGeek
4506,Да,500,"09.01.2024 00:03:06",313375,2023,SQL,Дальневосточный университет
4506,Да,500,"09.01.2024 00:03:06",313376,2023,Алгоритмы,Stepik
3397,Да,500,"28.12.2023 16:44:38",307578,2021,Администратор. Базовый,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307580,2021,Контент-менеджер,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307581,2021,Битрикс24. Офис.,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307582,2021,Задачи и проекты.,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307583,2021,CRM-маркетинг в Битрикс24,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307589,2022,Автоматизация бизнес-процессов,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307590,2022,Сквозная аналитика в Б24.CRM,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307591,2022,Администратор. Модули.,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307592,2022,Аналитик,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307593,2022,Базовый курс партнера Битрикс24,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307596,2022,Битрикс24.CRM,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307597,2023,Продажа подписки Битрикс24.Маркет Плюс,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307598,2023,Онлайн-продажи в Битрикс24,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307599,2023,Клиентский сервис,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",307600,2023,No-code в Битрикс24,"1С-Битрикс"
3397,Да,500,"28.12.2023 16:44:38",312566,2023,Менеджер по продажам Битрикс24,"1С-Битрикс"
4508,Да,500,"28.12.2023 12:31:39",312535,2023,"Диплом о профессиональной переподготовке по программе ""Аналитик данных""","АНО ДПО ""Образовательные технологии Яндекса"""
4507,Да,500,"28.12.2023 12:17:45",312517,2022,Data Engineering School,Quantori Academy
4538,Да,500,"27.12.2023 14:23:03",312388,2023,"10808-234014",Optimacros
1429,Да,500,"27.12.2023 12:23:10",251131,2018,BABOK Guide 3.0: Introduction to Business Analysis,Luxoft Training
1429,Да,500,"27.12.2023 12:23:10",251132,2018,Анализ данных на языке SQL,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251133,2018,Microsoft Excel 2016/2013. Уровень 3 Анализ и визуализация данных,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251134,2018,Основы работы с большими данными: Data Science Orientation,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251135,2018,Microsoft Excel 2016 Уровень 2 Расширенные возможности,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251136,2018,Нотация BPMN 2.0. Ее использование для моделирования бизнес-процессов и их регламентации,"Учебный центр ""Интерфейс"""
1429,Да,500,"27.12.2023 12:23:10",251137,2018,Microsoft Excel 2016/2013. Уровень 1 Работа с Excel 2016/2013,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251138,2018,Эффективная обработка информации (Mind mapping),НОУ «ИНТУИТ»
1429,Да,500,"27.12.2023 12:23:10",251139,2018,Управление и реинжиниринг бизнес - процессов. Базовый уровень,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251140,2018,Agile - Scrum. Управление проектами с использованием гибких подходов. Уровень 2,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251141,2018,Agile - Scrum. Управление проектами с использованием гибких подходов. Уровень,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251142,2018,Управление развитием информационных систем,НОУ «ИНТУИТ»
1429,Да,500,"27.12.2023 12:23:10",251143,2018,Основы бизнес-аналитики,НОУ «ИНТУИТ»
1429,Да,500,"27.12.2023 12:23:10",251144,2018,Qlik Sense & BA 23 modules,Qlik Continuous Classroom
1429,Да,500,"27.12.2023 12:23:10",251145,2019,Анализ и диагностика производственной деятельности предприятий,НОУ «ИНТУИТ»
1429,Да,500,"27.12.2023 12:23:10",251146,2019,UI/UX Design specialization (программа из 4 учебных курсов),California Institute of the Arts / Coursera
1429,Да,500,"27.12.2023 12:23:10",251147,2020,Customer Analytics,Wharton (University of Pennsylvania) / Coursera
1429,Да,500,"27.12.2023 12:23:10",251148,2020,Customer Journey Map: с нуля и до бэклога,Usablitylab
1429,Да,500,"27.12.2023 12:23:10",251149,2020,Figma 2,Skillbox
1429,Да,500,"27.12.2023 12:23:10",251154,2011,PowerPoint 2010 Specialist / Основы AutoCAD 2010 Специалист / CorelDraw X3. Специалист / Adobe PhotoShop CS3. Специалист,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251155,2016,Specialist in the Accreditation of Non-Formal and Informal Learning / VNIL experts at Intermediate Level (EQF Level 4),Danube University Krems
1429,Да,500,"27.12.2023 12:23:10",251156,2018,Специалист Microsoft Excel 2016|2013 Russian,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251157,2006,Computer Design and Animation in 3D Studio Max 8,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251158,2011,Разработка требований к программному обеспечению Архитектура действенной веб аналитики,Центр профессионального роста Careerlab
1429,Да,500,"27.12.2023 12:23:10",251159,2011,Microsoft Project 2010 / Подготовка и проведение презентаций HTML и CSS. Уровень 1 Создание сайтов по стандартам W3C Юзабилити сайтов. Проектирование веб-интерфейсов Веб-дизайн. Создание корпоративных и информационных сайтов IT-Project Management: управление проектами в области информационных технологий Основы программирования и баз данных,"Центр компьютерного обучения ""Специалист"" при МГТУ им. Н.Э.Баумана"
1429,Да,500,"27.12.2023 12:23:10",251160,2012,Текст в интерфейсах,Центр профессионального роста Careerlab
1429,Да,500,"27.12.2023 12:23:10",251161,2013,"АИС ""Федеральная диспетчерская служба""","ООО ""Первая Медиагруппа"""
1429,Да,500,"27.12.2023 12:23:10",251162,2013,"АИС ""Сводный план тушения лесных пожаров""",Техносерв консалтинг
1429,Да,500,"27.12.2023 12:23:10",251163,2013,Проектирование информационных систем Анализ требований автоматизированным информационным системам Мотивация персонала Основы информационной безопасности при работе на компьютере Основы современных операционных систем Основы информационной безопасности,НОУ «ИНТУИТ»
1429,Да,500,"27.12.2023 12:23:10",251164,2014,"Methodologies and procedures of definition, gathering, elaboration and presentation of info&data for Quality Assurance of Study Programmes: experiences and best practices",Universitat Politecnica de Catalunya
1429,Да,500,"27.12.2023 12:23:10",251165,2014,Основы управления проектами Информационные технологии в управлении Введение в защиту информации от внутренних ИТ-угроз Введение в UML Методические основы управления ИТ-проектами Применение ГОСТ 34 в проектах создания современных автоматизированных систем Язык UML 2 в анализе и проектировании систем и бизнес-процессов,НОУ «ИНТУИТ»
1429,Да,500,"27.12.2023 12:23:10",251166,2015,Геймдизайн,Scream school (школа компьютерной графики)
1429,Да,500,"27.12.2023 12:23:10",251167,2015,"Модернизация высшего профессионального образования: актуальные вопросы, цели, задачи",Московский государственный университет геодезии и картографии
1429,Да,500,"27.12.2023 12:23:10",251168,2015,On-line monitoring of the SP's quality perceived by stakeholders,Universita di Genova
1429,Да,500,"27.12.2023 12:23:10",251169,2015,Разработка профессиональных стандартов,"Национальный исследовательский университет ""Высшая школа экономики"""
1429,Да,500,"27.12.2023 12:23:10",251170,2016,"Профессиональная переподготовка ""Преподаватель высшей школы""",Московский государственный университет геодезии и картографии
1429,Да,500,"27.12.2023 12:23:10",251171,2018,BABOK Guide 3.0: Requirements Analysis and Design,Luxoft Training
4500,Да,500,"27.12.2023 11:29:46",312297,2023,Karpov StartML,Karpov Courses
4500,Да,500,"27.12.2023 11:29:46",312303,2023,Основы статистики,Stepik
4399,Да,500,"26.12.2023 10:07:13",312089,2022,Базы данных: Основы SQL / Базы данных: Продвинутый SQL / Проектирование баз данных,Shultais Education
4399,Да,500,"26.12.2023 10:07:13",312090,2022,Базы данных SQL,Sololearn
4399,Да,500,"26.12.2023 10:07:13",312091,2023,FineBI,FanRuan Software
3868,Да,500,"21.12.2023 15:53:35",311646,2019,Экзамен1: «Основные технологии и расширение типовых возможностей системы».,"1C-Bitrix"
3868,Да,500,"21.12.2023 15:53:35",311647,2019,Экзамен2: «Интеграция дизайна и настройка платформы»,"1C-Bitrix"
3398,Да,500,"20.12.2023 14:30:22",308948,2021,"1С-Битрикс: Управление сайтом: Администратор. Базовый.","1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",308949,2021,"1С-Битрикс: Управление сайтом: Контент-менеджер.","1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",308950,2021,"1С-Битрикс: Управление сайтом: Администратор. Модули","1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",308951,2021,"1С-Битрикс: Битрикс24.Офис.","1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",308952,2022,"1С-Битрикс: Автоматизация бизнес-процессов.","1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",308953,2023,"1С-Битрикс: Задачи и проекты.","1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",308954,2023,"1С-Битрикс: CRM-маркетинг в Битрикс24","1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",308955,2023,"1С-Битрикс: Администратор сервиса Битрикс24 (коробочная версия)","1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",308956,2023,"1С-Битрикс: Установка и настройка","1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",308957,2023,"1С-Битрикс: Аналитик","1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",311415,2023,Курс для хостеров,"1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:22",311416,2023,Бизнес-процессы,"1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:21",311413,2023,Курс для хостеров,"1С-Битрикс"
3398,Да,500,"20.12.2023 14:30:21",311414,2023,Бизнес-процессы,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307411,2017,Курс для партнеров Битрикс24 – продажи и внедрение,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307412,2017,Пользователь коробочной версии Битрикс24,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307413,2017,Пользователь сервиса Битрикс24,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307414,2017,Контент-менеджер,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307415,2017,Установка и настройка,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307416,2017,Администратор. Модули,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307417,2017,Администратор. Базовый,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307418,2017,"Администратор сервиса Битрикс24, коробочная версия","1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307419,2018,Бизнес-процессы,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307420,2020,Продвижение сайта и маркетинг,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307421,2021,Задачи и проекты,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307423,2021,Сквозная аналитика в Битрикс24.CRM,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307426,2021,CRM-маркетинг в Битрикс24,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307438,2020,Битрикс24. Офис,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307440,2023,Продажа подписки Битрикс24.Маркет Плюс»,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307441,2023,Онлайн-продажи в Битрикс24,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",307442,2023,Интернет-магазин + CRM,"1С-Битрикс"
1430,Да,500,"20.12.2023 13:34:57",311367,2016,Анализ инвестиционных проектов и программ,ВШЭ
1430,Да,500,"20.12.2023 13:34:57",311368,2016,"Цикл курсов «Анализ данных на практике»,",МФТИ
1430,Да,500,"20.12.2023 13:34:57",311369,2018,Управление ИТ-проектами,PMI Moscow office
1430,Да,500,"20.12.2023 13:34:57",311370,2018,Юридическая поддержка стартапов,МГУ
1430,Да,500,"20.12.2023 13:34:57",311371,2020,Проектирование баз данных высоконагруженных систем,МФТИ
2858,Да,500,"20.12.2023 12:14:35",310235,2019,Пользователь сервиса Битрикс24,"1С-Битрикс"
2858,Да,500,"20.12.2023 12:14:35",310236,2020,MB-210: Microsoft Dynamics 365 for Sales,Microsoft
2858,Да,500,"20.12.2023 12:14:35",310237,2020,MB-200: Microsoft Power Platform + Dynamics 365 Core,Microsoft
2858,Да,500,"20.12.2023 12:14:35",310238,2021,MS-700: Managing Microsoft Teams,Microsoft
2858,Да,500,"20.12.2023 12:14:35",310239,2022,Аналитик,"1С-Битрикс"
2858,Да,500,"20.12.2023 12:14:34",310229,2019,Администратор сервиса Битрикс24 (коробочная версия),"1С-Битрикс"
2858,Да,500,"20.12.2023 12:14:34",310230,2019,Пользователь коробочной версии Битрикс24,"1С-Битрикс"
2858,Да,500,"20.12.2023 12:14:34",310231,2019,Пользователь сервиса Битрикс24,"1С-Битрикс"
2858,Да,500,"20.12.2023 12:14:34",310232,2019,Пользователь сервиса Битрикс24,"1С-Битрикс"
2858,Да,500,"20.12.2023 12:14:34",310233,2019,Пользователь сервиса Битрикс24,"1С-Битрикс"
312,Да,500,"20.12.2023 10:05:17",252701,2013,Сертификат Oracle Hyperion Planning PreSales Specialist,""
312,Да,500,"20.12.2023 10:05:17",252702,2014,Сертификат 1Z0-533-Oracle Hyperion Planning 11 Essentials,Oracle University
312,Да,500,"20.12.2023 10:05:17",252703,2015,Сертификат Oracle General Product Support Specialist v4.0,""
312,Да,500,"20.12.2023 10:05:17",281439,2023,Инженер облачных сервисов,"АНО ДПО ""Образовательные технологии Яндекса"""
312,Да,500,"20.12.2023 10:05:17",281446,2014,Сертификат Oracle Planning and Budgeting Cloud Service Specialist Assessment,""
312,Да,500,"20.12.2023 10:05:17",311331,2023,Построение корпоративной аналитической платформы,"АНО ДПО ""Образовательные технологии Яндекса"""
312,Да,500,"20.12.2023 10:05:16",252700,2013,Сертификат Oracle Hyperion Planning Sales Specialist,""
4094,Да,500,"15.12.2023 16:17:04",310179,2020,Пользователь сервиса Битрикс24,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310180,2020,Пользователь коробочной версии Битрикс24,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310207,2020,Контент-менеджер,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310208,2020,Администратор сервиса Битрикс24 (коробочная версия),"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310209,2020,CRM-маркетинг в Битрикс24,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310210,2020,Битрикс24.Офис,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310211,2020,Внедрение Битрикс24: Основные настройки системы,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310212,2020,Задачи и проекты,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310213,2020,Сквозная аналитика в Битрикс24.CRM,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310214,2020,Внедрение Битрикс24: Автоматизация бизнес-процессов,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310215,2022,Автоматизация бизнес-процессов,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310216,2023,Битрикс24.CRM,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310220,2023,Управление сайтом. Администратор. Модули,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310221,2023,Управление сайтом. Администратор. Базовый,"1С-Битрикс"
4094,Да,500,"15.12.2023 16:17:04",310222,2021,Нотация BPMN 2.0.,LABA
4524,Да,500,"15.12.2023 09:42:48",310078,2023,Цифровая трансформация бизнеса,"ЦКО ""Технологии доверия- Эксперт"""
4194,Да,500,"24.11.2023 18:01:20",307013,2021,Пользователь коробочной версии Битрикс24,"1С-Битрикс"
4194,Да,500,"24.11.2023 18:01:20",307014,2021,Пользователь коробочной версии Битрикс24,"1С-Битрикс"
4194,Да,500,"24.11.2023 18:01:20",307016,2021,Администратор сервиса Битрикс24 (коробочная версия).,"1С-Битрикс"
4194,Да,500,"24.11.2023 18:01:20",307017,2021,Контент-менеджер,"1С-Битрикс"
4194,Да,500,"24.11.2023 18:01:20",307018,2021,Сквозная аналитика в Битрикс24.CRM,"1С-Битрикс"
4194,Да,500,"24.11.2023 18:01:20",307019,2021,CRM-маркетинг в Битрикс24,"1С-Битрикс"
4194,Да,500,"24.11.2023 18:01:20",307020,2022,Битрикс24.CRM,"1С-Битрикс"
4194,Да,500,"24.11.2023 18:01:20",307021,2022,Битрикс24.Офис,"1С-Битрикс"
4194,Да,500,"24.11.2023 18:01:20",307022,2022,Задачи и проекты,"1С-Битрикс"
4194,Да,500,"24.11.2023 18:01:20",307023,2022,Внедрение Битрикс24: Основные настройки системы,"1С-Битрикс"
4194,Да,500,"24.11.2023 18:01:20",307024,2022,Автоматизация бизнес-процессов,"1С-Битрикс"
3978,Да,500,"24.11.2023 16:08:26",306971,2022,Администратор сервиса Битрикс24 (коробочная версия).,"1С-Битрикс"
3978,Да,500,"24.11.2023 16:08:26",306972,2022,Автоматизация бизнес-процессов.,"1С-Битрикс"
3978,Да,500,"24.11.2023 16:08:26",306973,2022,Битрикс24: CRM,"1С-Битрикс"
3978,Да,500,"24.11.2023 16:08:26",306974,2022,Битрикс24: Офис,"1С-Битрикс"
3978,Да,500,"24.11.2023 16:08:26",306975,2022,Битрикс24: Задачи и проекты,"1С-Битрикс"
3978,Да,500,"24.11.2023 16:08:26",306976,2023,Битрикс24: Контент-менеджер,"1С-Битрикс"
3978,Да,500,"24.11.2023 16:08:26",306978,2023,Сквозная аналитика в Битрикс24.CRM,"1С-Битрикс"
3978,Да,500,"24.11.2023 16:08:26",306980,2023,Базовый курс партнера,"1С-Битрикс"
3978,Да,500,"24.11.2023 16:08:26",306981,2023,CRM-маркетинг в Битрикс24,"1С-Битрикс"
