"id","Дата рождения","активность","пол","фамилия","имя","Последняя авторизация","должность","цфо","Дата регистрации","Дата изменения","подразделения","E-Mail","логин","компания","Город проживания"
60,"",Да,"","","","12.01.2024 09:25:49",Руководитель направления,DAR,"","",. . . . Направление DG&DQ,"","","",""
174,"",Да,"","","","11.01.2024 12:50:39",Старший аналитик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
220,"",Нет,"","","","20.08.2021 16:31:37",Руководитель направления «K-Point»,DAR,"","",. . Департамент аналитических решений,"","","",""
275,"",Да,"","","","12.01.2024 09:39:45",Руководитель центра компетенций,DAR,"","",. . . . . . Бизнес-аналитика по работе с гос.компаниями: Центр компетенций,"","","",""
289,"",Нет,"","","","17.12.2018 19:36:15",Менеджер проектов,DAR,"","",. . . . Направление BI,"","","",""
300,"",Нет,"","","","17.07.2019 07:49:30",Старший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
305,"",Нет,"","","","",Старший программист,DAR,"","",. . Департамент аналитических решений,"","","",""
312,"",Да,"","","","10.01.2024 11:54:37",Архитектор,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
316,"",Да,"","","","29.12.2023 08:38:36",Старший консультант,DAR,"","",. . . . . . Группа СА РЖД,"","","",""
319,"",Да,"","","","19.10.2023 11:40:02",Старший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
324,"",Да,"","","","19.12.2023 18:42:29",Руководитель портфеля проектов,DAR,"","",. . . . . Группа управления проектами,"","","",""
326,"",Нет,"","","","05.02.2021 20:00:00",Менеджер проектов,DAR,"","",. . . . Направление BI,"","","",""
369,"",Да,"","","","28.12.2023 18:29:21",Старший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
382,"",Да,"","","","29.12.2023 11:36:10",Руководитель центра компетенций,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
411,"",Нет,"","","","20.05.2020 15:42:57",Консультант-эксперт,ERP,"","",. . Департамент аналитических решений,"","","",""
445,"",Да,"","","","11.01.2024 11:58:26",Директор по развитию бизнеса,DAR,"","",". . . Sales, Marketing & Business Development / SMBD","","","",""
450,"",Да,"","","","14.12.2016 19:19:52",Менеджер по работе с корпоративными клиентами,DAR,"","",". . . Sales, Marketing & Business Development / SMBD","","","",""
499,"",Нет,"","","","01.09.2023 17:45:18",Руководитель направления систем оптимизации,DAR,"","",. . . . Направление BI,"","","",""
505,"",Да,"","","","11.01.2024 16:27:02",Старший бизнес-аналитик,DAR,"","",. . . . . . Бизнес-аналитика. Общая практика,"","","",""
517,"",Да,"","","","11.01.2024 21:46:48",Руководитель группы аналитики,DAR,"","",. . . . . . Группа СА РЖД,"","","",""
536,"",Да,"","","","12.01.2024 09:27:00",Директор по развитию бизнеса,DAR,"","",". . . Sales, Marketing & Business Development / SMBD","","","",""
647,"",Да,"","","","12.01.2024 09:48:03",Бизнес-аналитик,DAR,"","",. . . . . . Бизнес-аналитика по работе с гос.компаниями: Центр компетенций,"","","",""
769,"",Да,"","","","26.07.2023 18:41:02",Консультант,DAR,"","",. . Департамент аналитических решений,"","","",""
773,"",Нет,"","","","21.01.2022 09:57:20",Старший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
804,"",Нет,"","","","28.02.2020 16:42:16",Консультант,DAR,"","",. . Департамент аналитических решений,"","","",""
833,"",Нет,"","","","29.05.2019 15:09:14",Разработчик,DAR,"","",. . . . Направление BI,"","","",""
886,"",Да,"","","","11.09.2023 11:27:46",Архитектор,DAR,"","",. . . . . Data Platform: Центр компетенций,"","","",""
901,"",Да,"","","","11.01.2024 14:57:53",Менеджер по маркетингу,DAR,"","",". . . Sales, Marketing & Business Development / SMBD","","","",""
940,"",Нет,"","","","10.08.2017 21:39:04",Старший аналитик,"","","",. . . . . . Бизнес-аналитика общей практики: Центр компетенций,"","","",""
946,"",Да,"","","","20.10.2023 12:41:35",Старший специалист по машинному обучению,DAR,"","",. . . . . Data Platform: Центр компетенций,"","","",""
982,"",Да,"","","","08.11.2023 13:16:22",Старший разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
984,"",Нет,"","","","04.06.2019 11:48:56",Консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
985,"",Нет,"","","","31.03.2020 14:31:48",Старший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
987,"",Нет,"","","","25.10.2021 14:09:42",Консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
991,"",Нет,"","","","22.07.2020 20:43:52",Консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
992,"",Нет,"","","","10.04.2017 13:44:42","","","","",. . Департамент аналитических решений,"","","",""
999,"",Нет,"","","","04.02.2021 16:56:43",Старший аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
1024,"",Да,"","","","11.01.2024 17:12:54",Владелец продукта,DAR,"","",. . . Направление СКИМ,"","","",""
