"название","активность","Сорт.","Дата изм.","id","дата","Среды разработки","Уровень знаний"
User:1335,Да,500,"10.01.2024 12:05:57",313774,"21.11.2022",Microsoft Visual Studio [115690],Middle [115639]
User:4506,Да,500,"08.01.2024 23:56:58",313364,"08.01.2024",IntelliJ IDEA [115694],Junior [115638]
User:4506,Да,500,"08.01.2024 23:56:57",313363,"08.01.2024",Microsoft Visual Studio [115690],Junior [115638]
User:3985,Да,500,"08.01.2024 20:59:11",313330,"01.02.2022",Microsoft Visual Studio [115690],Senior [115640]
User:3985,Да,500,"08.01.2024 20:59:11",313331,"01.02.2022",PyCharm [115693],Middle [115639]
User:4563,Да,500,"08.01.2024 13:31:29",313259,"08.01.2024",Microsoft Visual Studio [115690],Novice [115637]
User:4563,Да,500,"08.01.2024 13:31:29",313260,"08.01.2024",PyCharm [115693],Novice [115637]
User:4417,Да,500,"28.12.2023 09:53:20",312475,"01.01.2015",Microsoft Visual Studio [115690],Expert [115641]
User:4417,Да,500,"28.12.2023 09:53:20",312476,"01.01.2020",Другое [115695],Senior [115640]
User:4504,Да,500,"27.12.2023 13:15:02",312368,"27.12.2023",IntelliJ IDEA [115694],Novice [115637]
User:4504,Да,500,"27.12.2023 13:15:02",312369,"27.12.2023",Microsoft Visual Studio [115690],Junior [115638]
User:4504,Да,500,"27.12.2023 13:15:02",312370,"27.12.2023",PyCharm [115693],Senior [115640]
User:4504,Да,500,"27.12.2023 13:15:02",312371,"27.12.2023",Другое [115695],Junior [115638]
User:4500,Да,500,"27.12.2023 11:37:09",312325,"27.12.2023",Microsoft Visual Studio [115690],Middle [115639]
User:4516,Да,500,"27.12.2023 11:24:24",312304,"27.12.2023",PyCharm [115693],Junior [115638]
User:4516,Да,500,"27.12.2023 11:24:24",312305,"27.12.2023",Microsoft Visual Studio [115690],Junior [115638]
User:3931,Да,500,"25.12.2023 19:04:21",311991,"01.01.2015",IntelliJ IDEA [115694],Senior [115640]
User:3868,Да,500,"20.12.2023 17:48:37",311438,"07.12.2016",Другое [115695],Senior [115640]
User:3398,Да,500,"20.12.2023 14:11:30",311397,"27.10.2020",Microsoft Visual Studio [115690],Junior [115638]
User:4160,Да,500,"08.12.2023 12:35:50",308883,"01.01.2022",PyCharm [115693],Middle [115639]
User:4160,Да,500,"08.12.2023 12:35:49",308882,"01.01.2022",IntelliJ IDEA [115694],Middle [115639]
User:790,Да,500,"08.12.2023 12:17:14",308838,"27.10.2023",PyCharm [115693],Novice [115637]
User:4401,Да,500,"01.12.2023 14:26:30",307849,"01.04.2021",Другое [115695],Middle [115639]
User:2743,Да,500,"28.11.2023 17:14:56",307432,"27.10.2023",PyCharm [115693],Middle [115639]
User:312,Да,500,"24.11.2023 13:05:02",306936,"24.11.2023",PyCharm [115693],Junior [115638]
User:312,Да,500,"24.11.2023 13:05:02",306937,"24.11.2023",Microsoft Visual Studio [115690],Middle [115639]
