"название","активность","Сорт.","Дата изм.","id"
ETL/ELT_IBM_Infosphere Datastage,Да,500,"12.07.2023 15:34:40",283050
ETL/ELT_Stambia,Да,500,"12.07.2023 15:34:21",283049
DWH_MongoDB,Да,500,"08.09.2022 17:34:33",238993
DWH_MSSQL,Да,500,"08.09.2022 17:34:33",238994
DWH_MySQL,Да,500,"08.09.2022 17:34:33",238995
DWH_Oracle,Да,500,"08.09.2022 17:34:33",238996
DWH_PostgreSQL,Да,500,"08.09.2022 17:34:33",238997
DWH_Tarantool],Да,500,"08.09.2022 17:34:33",238998
DWH_Vertica],Да,500,"08.09.2022 17:34:33",238999
DevOps_Docker,Да,500,"08.09.2022 17:34:33",239000
DevOps_GIT,Да,500,"08.09.2022 17:34:33",239001
DevOps_Kubernetes,Да,500,"08.09.2022 17:34:33",239002
DevOps_Linux,Да,500,"08.09.2022 17:34:33",239003
DevOps_Microsoft Azure DevOps Server,Да,500,"08.09.2022 17:34:33",239004
DevOps_PowerShell,Да,500,"08.09.2022 17:34:33",239005
DevOps_SVN,Да,500,"08.09.2022 17:34:33",239006
DevOps_Yarn,Да,500,"08.09.2022 17:34:33",239007
ETL/ELT_Airflow,Да,500,"08.09.2022 17:34:33",239008
ETL/ELT_DataBricks,Да,500,"08.09.2022 17:34:33",239009
ETL/ELT_DataFactory,Да,500,"08.09.2022 17:34:33",239010
ETL/ELT_Debezium,Да,500,"08.09.2022 17:34:33",239011
ETL/ELT_Flume,Да,500,"08.09.2022 17:34:33",239012
ETL/ELT_Informatica,Да,500,"08.09.2022 17:34:33",239013
ETL/ELT_Kafka,Да,500,"08.09.2022 17:34:33",239014
ETL/ELT_Luxms Databoring,Да,500,"08.09.2022 17:34:33",239015
ETL/ELT_Microsoft SQL Server Integration Services (SSIS),Да,500,"08.09.2022 17:34:33",239016
ETL/ELT_NiFi,Да,500,"08.09.2022 17:34:33",239017
ETL/ELT_Oozie,Да,500,"08.09.2022 17:34:33",239018
ETL/ELT_Scoop,Да,500,"08.09.2022 17:34:33",239019
ETL/ELT_Spark,Да,500,"08.09.2022 17:34:33",239020
ETL/ELT_Spark Streaming,Да,500,"08.09.2022 17:34:33",239021
ETL/ELT_Storm,Да,500,"08.09.2022 17:34:33",239022
ETL/ELT_Talend,Да,500,"08.09.2022 17:34:33",239023
Другое,Да,500,"08.09.2022 17:34:33",239024
BI_Angular,Да,500,"08.09.2022 17:34:32",238972
BI_Grafana,Да,500,"08.09.2022 17:34:32",238973
BI_Jquery,Да,500,"08.09.2022 17:34:32",238974
BI_Luxms Databoring,Да,500,"08.09.2022 17:34:32",238975
BI_Nodejs,Да,500,"08.09.2022 17:34:32",238976
BI_NPrinting,Да,500,"08.09.2022 17:34:32",238977
BI_Power BI,Да,500,"08.09.2022 17:34:32",238978
BI_React,Да,500,"08.09.2022 17:34:32",238979
BI_Qlik Alerting,Да,500,"08.09.2022 17:34:32",238980
BI_Qlik Catalog,Да,500,"08.09.2022 17:34:32",238981
BI_Qlik Compose,Да,500,"08.09.2022 17:34:32",238982
BI_Qlik Geoanalitics,Да,500,"08.09.2022 17:34:32",238983
BI_Qlik Replicate,Да,500,"08.09.2022 17:34:32",238984
BI_Qlik Sense,Да,500,"08.09.2022 17:34:32",238985
BI_QlikView,Да,500,"08.09.2022 17:34:32",238986
DWH_BigQuery,Да,500,"08.09.2022 17:34:32",238987
DWH_ClickHouse,Да,500,"08.09.2022 17:34:32",238988
DWH_GreenPlum,Да,500,"08.09.2022 17:34:32",238989
DWH_Hadoop,Да,500,"08.09.2022 17:34:32",238990
DWH_Hbase,Да,500,"08.09.2022 17:34:32",238991
DWH_Hive,Да,500,"08.09.2022 17:34:32",238992
