"название","активность","Сорт.","Дата изм.","id"
Высшее (бакалавриат),Да,10,"22.01.2021 11:47:17",76387
Высшее (специалитет),Да,20,"22.01.2021 11:47:40",148153
Высшее (магистратура),Да,30,"22.01.2021 11:48:02",148155
Кандидат наук,Да,40,"22.01.2021 11:48:19",148156
Среднее специальное,Да,50,"22.01.2021 11:48:36",148157
Среднее техническое,Да,60,"22.01.2021 11:50:46",148158
Профессиональная переподготовка,Да,70,"22.01.2021 11:52:13",148159
Не указано,Да,100,"22.01.2021 11:51:50",148161
Высшее,Да,500,"09.04.2021 15:05:07",175357
Сертификат,Да,500,"09.04.2021 15:05:07",175358
Удостоверение,Да,500,"09.04.2021 15:05:07",175359
Второе высшее,Да,500,"09.04.2021 15:05:07",175360
Неполное высшее образовани],Да,500,"09.04.2021 15:05:07",175361
Неполное высшее,Да,500,"09.04.2021 15:05:07",175362
Повышение квалификации,Да,500,"09.04.2021 15:05:07",175363
Диплом,Да,500,"09.04.2021 15:05:07",175364
Свидетельство,Да,500,"09.04.2021 15:05:07",175365
Профессиональная подготов,Да,500,"09.04.2021 15:05:07",175366
Среднее профессиональное образование,Да,500,"17.04.2021 01:02:05",177798
Высшее образование,Да,500,"17.04.2021 01:02:05",177799
Среднее (полное) общее образование,Да,500,"17.04.2021 01:02:05",177800
Неполное высшее образование,Да,500,"17.04.2021 01:02:05",177801
Дополнительное профессиональное образование,Да,500,"17.04.2021 01:02:05",177802
"Аспирантура, ординатура, адъюнктура",Да,500,"17.04.2021 01:02:05",177803
Высшее техническое,Да,500,"17.04.2021 01:02:05",177804
Высшее экономическое,Да,500,"17.04.2021 01:02:05",177805
Высшее гуманитарное,Да,500,"17.04.2021 01:02:05",177806
Профессиональная подготовка,Да,500,"17.04.2021 01:02:05",177807
Бакалавр,Да,500,"22.07.2021 01:01:25",188726
Начальное профессиональное образование,Да,500,"14.11.2021 01:01:23",200362
-,Да,500,"10.02.2023 01:03:01",262859
