"название","активность","Сорт.","Дата изм.","id"
React,Да,500,"04.04.2022 14:40:38",216057
Spring,Да,500,"04.04.2022 14:40:12",216034
.Net Framework,Да,500,"21.10.2020 13:17:54",115732
JSF,Да,500,"21.10.2020 13:17:54",115733
GWT,Да,500,"21.10.2020 13:17:54",115734
ASP. NET (ASP. NET MVC),Да,500,"21.10.2020 13:17:54",115735
Ktor,Да,500,"21.10.2020 13:17:54",115736
Django,Да,500,"21.10.2020 13:17:54",115737
Yii,Да,500,"21.10.2020 13:17:54",115738
Symphony,Да,500,"21.10.2020 13:17:54",115739
Plone,Да,500,"21.10.2020 13:17:54",115740
Vue.js,Да,500,"21.10.2020 13:17:54",115741
Angular,Да,500,"21.10.2020 13:17:54",115742
Ember.js,Да,500,"21.10.2020 13:17:54",115743
Kohana,Да,500,"21.10.2020 13:17:54",115745
Zend,Да,500,"21.10.2020 13:17:54",115746
Другое,Да,500,"21.10.2020 13:17:54",115747
