"название","активность","Сорт.","Дата изм.","id","дата","Уровень знаний","фреймворки"
User:4506,Да,500,"08.01.2024 23:57:54",313367,"08.01.2024",Novice [115637],Django [115737]
User:3985,Да,500,"08.01.2024 20:58:40",313320,"01.02.2022",Senior [115640],ASP. NET (ASP. NET MVC) [115735]
User:3985,Да,500,"08.01.2024 20:58:40",313321,"01.02.2022",Senior [115640],.Net Framework [115732]
User:3985,Да,500,"08.01.2024 20:58:40",313322,"01.02.2022",Middle [115639],Другое [115747]
User:3985,Да,500,"08.01.2024 20:58:40",313329,"01.02.2022",Middle [115639],Другое [115747]
User:4417,Да,500,"28.12.2023 09:51:43",312467,"01.01.2018",Expert [115641],.Net Framework [115732]
User:4417,Да,500,"28.12.2023 09:51:43",312469,"01.01.2018",Expert [115641],ASP. NET (ASP. NET MVC) [115735]
User:4417,Да,500,"28.12.2023 09:51:43",312470,"01.01.2020",Senior [115640],React [216057]
User:4504,Да,500,"27.12.2023 13:17:28",312376,"27.12.2023",Middle [115639],Другое [115747]
User:3931,Да,500,"25.12.2023 19:07:20",311995,"25.12.2019",Middle [115639],.Net Framework [115732]
User:3931,Да,500,"25.12.2023 19:07:20",311996,"25.12.2018",Middle [115639],React [216057]
User:3931,Да,500,"25.12.2023 19:07:20",311997,"25.12.2017",Middle [115639],Symphony [115739]
User:3931,Да,500,"25.12.2023 19:07:20",311998,"25.12.2019",Senior [115640],Vue.js [115741]
User:3931,Да,500,"25.12.2023 19:07:20",311999,"25.12.2016",Использовал на проекте [283045],Zend [115746]
User:3868,Да,500,"20.12.2023 17:46:58",311435,"02.12.2019",Senior [115640],Vue.js [115741]
User:3398,Да,500,"20.12.2023 14:13:47",311399,"14.08.2016",Novice [115637],React [216057]
User:3398,Да,500,"20.12.2023 14:13:47",311400,"14.08.2016",Novice [115637],Vue.js [115741]
User:3398,Да,500,"20.12.2023 14:13:47",311401,"14.08.2016",Novice [115637],Angular [115742]
User:4160,Да,500,"08.12.2023 12:44:46",308887,"10.10.2023",Middle [115639],Spring [216034]
User:4160,Да,500,"08.12.2023 12:44:46",308888,"01.01.2023",Junior [115638],Другое [115747]
User:4160,Да,500,"08.12.2023 12:44:46",308892,"10.08.2023",Junior [115638],Другое [115747]
User:4160,Да,500,"08.12.2023 12:40:59",308889,"10.08.2023",Novice [115637],Другое [115747]
User:4401,Да,500,"01.12.2023 14:29:12",307856,"25.07.2022",Junior [115638],Другое [115747]
User:4401,Да,500,"01.12.2023 14:29:12",307857,"03.10.2022",Junior [115638],Vue.js [115741]
User:2743,Да,500,"28.11.2023 17:15:25",307435,"27.10.2023",Middle [115639],ASP. NET (ASP. NET MVC) [115735]
User:312,Да,500,"24.11.2023 13:07:53",306942,"24.11.2023",Novice [115637],Django [115737]
User:3591,Да,500,"21.11.2023 10:32:15",266607,"17.03.2023",Junior [115638],Spring [216034]
User:3591,Да,500,"21.11.2023 10:32:15",266608,"17.03.2023",Junior [115638],React [216057]
User:3591,Да,500,"21.11.2023 10:32:15",306424,"21.11.2023",Middle [115639],.Net Framework [115732]
User:3591,Да,500,"21.11.2023 10:32:15",306425,"21.11.2023",Middle [115639],Angular [115742]
