"название","активность","Сорт.","Дата изм.","id"
JavaScript,Да,500,"13.07.2023 12:16:39",115717
Data Analysis Expressions (DAX),Да,500,"08.09.2022 17:34:33",239025
HTML,Да,500,"08.09.2022 17:34:33",239026
Julia,Да,500,"04.04.2022 14:39:39",216033
Rust,Да,500,"04.04.2022 14:39:28",216032
Haskell,Да,500,"04.04.2022 14:39:15",216031
Objective-C,Да,500,"04.04.2022 14:39:03",216030
Golang,Да,500,"04.04.2022 14:38:49",216029
Arduino,Да,500,"04.04.2022 14:38:38",216028
Kotlin,Да,500,"04.04.2022 14:38:26",216027
Swift,Да,500,"04.04.2022 14:38:16",216026
TypeScript,Да,500,"04.04.2022 14:38:02",216018
Scala,Да,500,"04.04.2022 14:37:46",216011
GO,Да,500,"04.04.2022 14:37:35",216010
Python,Да,500,"04.04.2022 14:37:12",115719
С#,Да,500,"21.10.2020 13:17:54",115713
C++,Да,500,"21.10.2020 13:17:54",115714
C,Да,500,"21.10.2020 13:17:54",115715
Java,Да,500,"21.10.2020 13:17:54",115716
Abap,Да,500,"21.10.2020 13:17:54",115718
PHP,Да,500,"21.10.2020 13:17:54",115720
"1C",Да,500,"21.10.2020 13:17:54",115721
R,Да,500,"21.10.2020 13:17:54",115722
Qlik script,Да,500,"21.10.2020 13:17:54",115723
X++,Да,500,"21.10.2020 13:17:54",115724
SQL,Да,500,"21.10.2020 13:17:54",115725
Visual Basic .NET,Да,500,"21.10.2020 13:17:54",115726
MATLAB,Да,500,"21.10.2020 13:17:54",115727
Ruby,Да,500,"21.10.2020 13:17:54",115728
Perl,Да,500,"21.10.2020 13:17:54",115729
Delphi| Object Pascal,Да,500,"21.10.2020 13:17:54",115730
Другое,Да,500,"21.10.2020 13:17:54",115731
